course,credits
CSE1100,3
CSE1101,3
CSE1102,1
CSE1103,3
Math1151,3
Phy1151,3
Phy1152,1
Eng1151,2
Eng1152,1
CSE1200,1
CSE1201,3
CSE1202,1
ECE1251,3
ECE1252,1
ME1251,2
ME1252,1
Math1251,3
Chem1251,3
Econ1251,1
CSE2100,1
CSE2101,3
CSE2102,1
CSE2103,3
CSE2104,1
CSE2105,3
CSE2106,1
ECE2151,3
ECE2152,1
Math2151,3
CSE2201,3
CSE2202,1
CSE2203,3
CSE2204,1
CSE2205,3
CSE2206,1
ECE2251,2
Math2251,3
CSE3101,3
CSE3102,1
CSE3103,3
CSE3104,1
CSE3105,3
CSE3106,1
CSE3107,3
CSE3108,1
Stat3151,3
BA3151,2
CSE3201,3
CSE3202,1
CSE3204,1
ECE3251,3
ECE3252,1
BA3251,2
Law3251,2
Psy3251,2
CSE3225,3
CSE3226,1
CSE4100,2
CSE4103,3
CSE4104,1
CSE4105,3
CSE4106,1
CSE4107,3
CSE4108,1
CSE4109,2
CSE4123,3
CSE4160,0
CSE4200,4
CSE4202,1
CSE4204,1
BA4251,2
CSE4223,3
CSE4224,1
CSE4225,3
CSE4226,1
CSE4237,3
