course,title,credits
CSE1100,Computer Fundamentals,1
CSE1101,Computer Fundamentals,3
CSE1102,Computer Fundamentals,1
CSE1103,Computer Fundamentals,3
Math1151,Computer Fundamentals,3
Phy1151,Computer Fundamentals,3
Phy1152,Computer Fundamentals,1
Eng1151,Computer Fundamentals,2
Eng1152,Computer Fundamentals,1
CSE1200,Computer Fundamentals,1
CSE1201,Computer Fundamentals,3
CSE1202,Computer Fundamentals,1
ECE1251,Computer Fundamentals,3
ECE1252,Computer Fundamentals,1
ME1251,Computer Fundamentals,2
ME1252,Computer Fundamentals,1
Math1251,Computer Fundamentals,3
Chem1251,Computer Fundamentals,3
Econ1251,Computer Fundamentals,1
CSE2100,Computer Fundamentals,1
CSE2101,Computer Fundamentals,3
CSE2102,Computer Fundamentals,1
CSE2103,Computer Fundamentals,3
CSE2104,Computer Fundamentals,1
CSE2105,Computer Fundamentals,3
CSE2106,Computer Fundamentals,1
ECE2151,Computer Fundamentals,3
ECE2152,Computer Fundamentals,1
Math2151,Computer Fundamentals,3
CSE2201,Computer Fundamentals,3
CSE2202,Computer Fundamentals,1
CSE2203,Computer Fundamentals,3
CSE2204,Computer Fundamentals,1
CSE2205,Computer Fundamentals,3
CSE2206,Computer Fundamentals,1
ECE2251,Computer Fundamentals,2
Math2251,Computer Fundamentals,3
CSE3101,Computer Fundamentals,3
CSE3102,Computer Fundamentals,1
CSE3103,Computer Fundamentals,3
CSE3104,Computer Fundamentals,1
CSE3105,Computer Fundamentals,3
CSE3106,Computer Fundamentals,1
CSE3107,Computer Fundamentals,3
CSE3108,Computer Fundamentals,1
Stat3151,Computer Fundamentals,3
BA3151,Computer Fundamentals,2
CSE3201,Computer Fundamentals,3
CSE3202,Computer Fundamentals,1
CSE3204,Computer Fundamentals,1
ECE3251,Computer Fundamentals,3
ECE3252,Computer Fundamentals,1
BA3251,Computer Fundamentals,2
Law3251,Computer Fundamentals,2
Psy3251,Computer Fundamentals,2
CSE3225,Computer Fundamentals,3
CSE3226,Computer Fundamentals,1
CSE4100,Computer Fundamentals,2
CSE4103,Computer Fundamentals,3
CSE4104,Computer Fundamentals,1
CSE4105 ,Computer Fundamentals,3
CSE4106,Computer Fundamentals,1
CSE4107,Computer Fundamentals,3
CSE4108,Computer Fundamentals,1
CSE4109,Computer Fundamentals,2
CSE4123,Computer Fundamentals,3
CSE4160,Computer Fundamentals,0
CSE4200,Computer Fundamentals,4
CSE4202,Computer Fundamentals,1
CSE4204,Computer Fundamentals,1
BA4251,Computer Fundamentals,2
CSE4223,Computer Fundamentals,3
CSE4224,Computer Fundamentals,1
CSE4225,Computer Fundamentals,3
CSE4226,Computer Fundamentals,1
CSE4237,Computer Fundamentals,3
